source_term,pt_BR_term,status,note
Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,protected,"Oracle product name; use acronym OCI unchanged"
OCI IAM,OCI IAM,protected,"Oracle product name; never translate"
OCI Audit,OCI Audit,protected,"Oracle product name; never translate"
OCI Vault,OCI Vault,protected,"Oracle product name; never translate"
Key Management,Key Management,protected,"Oracle product name; never translate"
Secrets,Secrets,protected,"Oracle product name; never translate"
Cloud Guard,Cloud Guard,protected,"Oracle product name; never translate"
Security Zones,Security Zones,protected,"Oracle product name; never translate"
Vulnerability Scanning Service,Vulnerability Scanning Service,protected,"Oracle product name; never translate"
OS Management Hub,OS Management Hub,protected,"Oracle product name; never translate"
Service Connector Hub,Service Connector Hub,protected,"Oracle product name; never translate"
Logging Analytics,Logging Analytics,protected,"Oracle product name; never translate"
OCI Generative AI,OCI Generative AI,protected,"Oracle product name; never translate"
OCI Generative AI Agents,OCI Generative AI Agents,protected,"Oracle product name; never translate"
OCI Data Science,OCI Data Science,protected,"Oracle product name; never translate"
instance principal,instance principal,approved,"OCI identity term retained"
resource principal,resource principal,approved,"OCI identity term retained"
tenancy,tenancy,approved,"OCI administrative term retained"
landing zone,landing zone,approved,"Established cloud architecture term retained"
retrieval-augmented generation,geração aumentada por recuperação,approved,"Use acronym RAG unchanged"
Model Context Protocol,Protocolo de Contexto de Modelo,approved,"Use acronym MCP unchanged"
prompt injection,injeção de prompt,approved,"Keep prompt as established technical term"
embedding,embedding,approved,"Technical term retained"
guardrail,guardrail,approved,"Technical term retained"
vector store,repositório vetorial,approved,"Preferred pt-BR term"
non-human identity,identidade não humana,approved,"Preferred pt-BR term"
