source_term,pt_BR_term,status,note
Vertex AI,Vertex AI,protected,"Google product name; never translate"
Security Command Center,Security Command Center,protected,"Google product name; never translate"
Sensitive Data Protection,Sensitive Data Protection,protected,"Google product name; never translate"
Cloud Audit Logs,Cloud Audit Logs,protected,"Google product name; never translate"
Workload Identity Federation,Workload Identity Federation,protected,"Google product name; never translate"
Privileged Access Manager,Privileged Access Manager,protected,"Google product name; never translate"
Dataplex Universal Catalog,Dataplex Universal Catalog,protected,"Google product name; never translate"
Security Health Analytics,Security Health Analytics,protected,"Google product name; never translate"
Event Threat Detection,Event Threat Detection,protected,"Google product name; never translate"
VPC Flow Logs,VPC Flow Logs,protected,"Google product name; never translate"
Gemini for Google Workspace,Gemini for Google Workspace,protected,"Google product name; never translate"
IAM service accounts,IAM service accounts,protected,"Google IAM resource name retained"
retrieval-augmented generation,geração aumentada por recuperação,approved,"Use acronym RAG unchanged"
shadow AI,shadow AI,approved,"Established technical term retained"
embedding,embedding,approved,"Technical term retained where natural"
prompt,prompt,approved,"Technical term retained where natural"
non-human identity,identidade não humana,approved,"Use acronym NHI unchanged"
